Agency,Agency_Name,Borough,Location_Type,Street_Name,Complaint_Type,Descriptor,Incident_Zip
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,NORMAN AVENUE,Graffiti,Graffiti,11222
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,MANHATTAN AVENUE,Graffiti,Graffiti,11222
DEP,Department of Environmental Protection,QUEENS,,,Water System,Hydrant Leaking (WC1),11103
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Controller,
DSNY,Queens East 12,QUEENS,Street,,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,11423
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DPR,Department of Parks and Recreation,MANHATTAN,Park,,Maintenance or Facility,Structure - Outdoors,10011
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Veh Signal Visor,
DSNY,BCC - Bronx,BRONX,Sidewalk,,Sanitation Condition,12 Dead Animals,10466
DSNY,Department of Sanitation,QUEENS,Mixed Use,37 AVENUE,Graffiti,Graffiti,11372
DSNY,Department of Sanitation,QUEENS,Mixed Use,32 STREET,Graffiti,Graffiti,11102
DEP,Department of Environmental Protection,QUEENS,,CLINTON AVENUE,Water System,Dirty Water (WE),11378
DSNY,Department of Sanitation,BROOKLYN,Comercial,FOSTER AVENUE,Graffiti,Graffiti,11236
DOT,Department of Transportation,BROOKLYN,,,Traffic Signal Condition,Street Light Feed,
DPR,Department of Parks and Recreation,STATEN ISLAND,Street,CLERMONT AVENUE,Dead/Dying Tree,Planted More Than 2 Years Ago,10307
DOT,Department of Transportation,QUEENS,,VAN WYCK EXPY,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,,Street Condition,Pothole,11357
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Ped Flasher,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,STATEN ISLAND,,ENGLEWOOD AVENUE,Street Condition,Pothole,10309
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Cycling,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Fixture/Luminaire Hanging,
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,MANHATTAN AVENUE,Graffiti,Graffiti,11222
DSNY,Department of Sanitation,BROOKLYN,Comercial,FLATBUSH AVENUE EXTENSION,Graffiti,Graffiti,11201
DSNY,Department of Sanitation,BROOKLYN,Comercial,NORMAN AVENUE,Graffiti,Graffiti,11222
DPR,Department of Parks and Recreation,MANHATTAN,Street,EAST 79 STREET,Dead/Dying Tree,Planted More Than 2 Years Ago,10075
DEP,Department of Environmental Protection,BROOKLYN,,HART STREET,Water System,Hydrant Running (WC3),11237
DSNY,Department of Sanitation,BROOKLYN,Residential,AVENUE N,Graffiti,Graffiti,11230
DEP,Department of Environmental Protection,BRONX,,FORT INDEPENDENCE STREET,Noise,Noise: air condition/ventilation equipment (NV1),10463
DSNY,Department of Sanitation,QUEENS,Mixed Use,JUNCTION BOULEVARD,Graffiti,Graffiti,11373
DSNY,Department of Sanitation,BROOKLYN,Residential,PARK PLACE,Graffiti,Graffiti,11238
DSNY,Department of Sanitation,BROOKLYN,Comercial,FLATBUSH AVENUE,Graffiti,Graffiti,11217
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,Unspecified,Terminal,,Ferry Complaint,General Complaint,
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Dayburning,
DOF,Department of Finance,Unspecified,,,DOF Literature Request,Application for Disability Rent Increase Exemption - Spanish,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,,Street Condition,Pothole,11106
DOT,Department of Transportation,QUEENS,,,Traffic Signal Condition,Controller,
DSNY,Bronx 11,BRONX,Sidewalk,VAN NEST AVENUE,Sanitation Condition,12 Dead Animals,10460
DSNY,Queens East 12,QUEENS,Street,,Derelict Vehicles,14 Derelict Vehicles,11433
DSNY,Manhattan 06,MANHATTAN,Sidewalk,EAST   48 STREET,Litter Basket / Request,10 Litter Basket / Request,10017
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOF,Land Records,MANHATTAN,Property Address,,DOF Property - Update Account,Billing Address Incorrect,10005
DOF,Land Records,BRONX,Property Address,,DOF Property - Update Account,Billing Name Incorrect,10469
DOF,Department of Finance,Unspecified,,,DOF Literature Request,Property Tax Exemption Application for Owners - English,
DOT,Department of Transportation,Unspecified,,,DOT Literature Request,Expedited Sidewalk Repair Program - Bronx,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DSNY,Brooklyn South 10,BROOKLYN,Street,,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,11220
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Dayburning,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,
DOF,Land Records,QUEENS,Property Address,,DOF Property - Update Account,Billing Address Incorrect,11357
DOF,Land Records,QUEENS,Property Address,,DOF Property - Update Account,Billing Address Incorrect,11419
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Lamppost Base Door/Cover Open,
DSNY,BCC - Manhattan,MANHATTAN,Sidewalk,,Other Enforcement,E10 Street Obstruction,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Traffic Signal Light,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,,Traffic Signal Condition,Warning Signal,
NYPD,New York City Police Department,Unspecified,Street/Sidewalk,67 STREET,Illegal Parking,Commercial Overnight Parking,
DSNY,BCC - Bronx,BRONX,Street,3 AVENUE,Derelict Vehicles,14 Derelict Vehicles,10458
DOF,Department of Finance,Unspecified,,,DOF Literature Request,Property Tax Exemption Application for Owners - English,
FDNY,FDNY,Unspecified,,,Complaint,Fire Safety,
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Controller,
DOT,Department of Transportation,QUEENS,,,Traffic Signal Condition,Pedestrian Signal,
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,NEWKIRK AVENUE,Graffiti,Graffiti,11230
DSNY,Department of Sanitation,MANHATTAN,,WEST  164 STREET,Graffiti,Graffiti,10032
NYPD,New York City Police Department,BRONX,Residential Building/House,COLLEGE AVENUE,Noise - Residential,Loud Music/Party,10456
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,BROADWAY,Graffiti,Graffiti,10031
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,KINGSLAND AVENUE,Graffiti,Graffiti,11222
DSNY,Department of Sanitation,BROOKLYN,Residential,KINGSLAND AVENUE,Graffiti,Graffiti,11222
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,MANHATTAN AVENUE,Graffiti,Graffiti,11222
DSNY,Department of Sanitation,MANHATTAN,Residential,LEXINGTON AVENUE,Graffiti,Graffiti,10035
DOB,Department of Buildings,STATEN ISLAND,,RICHMOND ROAD,Building/Use,Illegal Conversion Of Residential Building/Space,10304
DSNY,Department of Sanitation,BROOKLYN,Comercial,KINGSLAND AVENUE,Graffiti,Graffiti,11222
DSNY,Department of Sanitation,BROOKLYN,Comercial,NORMAN AVENUE,Graffiti,Graffiti,11222
DSNY,Department of Sanitation,QUEENS,,grand ave,Graffiti,Graffiti,
DSNY,Department of Sanitation,QUEENS,,grand ave rust street,Graffiti,Graffiti,
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,5 AVENUE,Graffiti,Graffiti,11215
DOT,Department of Transportation,BRONX,,,Street Condition,Pothole,10471
DOF,Correspondence Unit,BRONX,Property Address,,DOF Property - Request Copy,Copy of Statement,10462
DOF,Correspondence Unit,BROOKLYN,Property Address,,DOF Property - Request Copy,Copy of Statement,11237
DOF,Department of Finance,Unspecified,,,DOF Literature Request,Property Tax Payment Agreement Request,
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Controller,
DPR,Department of Parks and Recreation,MANHATTAN,Park,,Violation of Park Rules,Unlicensed Vendors,10026
DOB,Department of Buildings,QUEENS,,AVON ROAD,Building/Use,Illegal Conversion Of Residential Building/Space,11432
DOB,Department of Buildings,STATEN ISLAND,,FOREST AVENUE,General Construction/Plumbing,Fence - None/Inadequate,10303
DEP,Department of Environmental Protection,QUEENS,,51 AVENUE,Water System,Dirty Water (WE),11368
DSNY,Department of Sanitation,MANHATTAN,,3rd avenue,Graffiti,Graffiti,
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,BROADWAY,Graffiti,Graffiti,10025
DSNY,Department of Sanitation,BROOKLYN,Residential,NORTH    5 STREET,Graffiti,Graffiti,11211
DSNY,Department of Sanitation,BROOKLYN,Comercial,SMITH STREET,Graffiti,Graffiti,11231
DSNY,Department of Sanitation,BROOKLYN,Comercial,SPENCER STREET,Graffiti,Graffiti,11205
DSNY,Department of Sanitation,BROOKLYN,Residential,DAHILL ROAD,Graffiti,Graffiti,11204
DSNY,Department of Sanitation,BROOKLYN,Comercial,EAST   52 STREET,Graffiti,Graffiti,11203
DSNY,Department of Sanitation,QUEENS,Mixed Use,23 AVENUE,Graffiti,Graffiti,11105
DOB,Department of Buildings,QUEENS,,217 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11364
DOB,Department of Buildings,QUEENS,,34 AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11101
DSNY,Department of Sanitation,BROOKLYN,Comercial,KINGS HIGHWAY,Graffiti,Graffiti,11223
DSNY,Department of Sanitation,BROOKLYN,Comercial,54 STREET,Graffiti,Graffiti,11220
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,DAHILL ROAD,Graffiti,Graffiti,11223
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,KINGS HIGHWAY,Graffiti,Graffiti,11223
DOB,Department of Buildings,BRONX,,CONCORD AVENUE,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,10455
DSNY,Department of Sanitation,BROOKLYN,,FLATBUSH AVENUE,Graffiti,Graffiti,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DSNY,Department of Sanitation,MANHATTAN,,CLINTON STREET,Graffiti,Graffiti,10002
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,11414
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,STILLWELL AVENUE,Graffiti,Graffiti,11224
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DSNY,Department of Sanitation,BROOKLYN,,MORGAN AVENUE,Graffiti,Graffiti,11237
DEP,Department of Environmental Protection,BRONX,,MANIDA STREET,Water System,Hydrant Knocked Over/Missing (WC),10474
DSNY,Lot Cleaning,STATEN ISLAND,Lot,FOREST STREET,Vacant Lot,8 Request to Clean Vacant Lot,10314
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,11217
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DSNY,Lot Cleaning,STATEN ISLAND,Lot,HEUSDEN STREET,Vacant Lot,8 Request to Clean Vacant Lot,10303
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOB,Department of Buildings,STATEN ISLAND,,HEFFERNAN STREET,General Construction/Plumbing,Fence - None/Inadequate,10312
DOT,Department of Transportation,QUEENS,,GRAND CENTRAL PKWY,Street Light Condition,Lamppost Damaged,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,WEEKS AVENUE,Street Light Condition,Street Light Out,10457
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,CONEY ISLAND AVENUE,Graffiti,Graffiti,11218
DOT,Department of Transportation,QUEENS,,WHITESTONE EXPY,Street Light Condition,Lamppost Knocked Down,
DEP,Department of Environmental Protection,QUEENS,,GRAND CENTRAL PARKWAY,Water System,Dirty Water (WE),11432
DSNY,Department of Sanitation,MANHATTAN,Residential,BRADHURST AVENUE,Graffiti,Graffiti,10030
DOB,Department of Buildings,BRONX,,INTERVALE AVENUE,Plumbing,Plumbing-Defective/Leaking/Not Maintained,10459
DPR,Department of Parks and Recreation,QUEENS,Park,,Maintenance or Facility,Garbage or Litter,11413
DOB,Department of Buildings,BROOKLYN,,BOGART STREET,Special Enforcement,SEP - Professional Certification Compliance Audit,11206
DEP,Department of Environmental Protection,QUEENS,,,Water System,Hydrant Running (WC3),11101
DSNY,Department of Sanitation,MANHATTAN,Comercial,5 AVENUE,Graffiti,Graffiti,10016
DPR,Department of Parks and Recreation,BROOKLYN,Street,AVENUE I,Damaged Tree,Branch or Limb Has Fallen Down,11210
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,5 AVENUE,Graffiti,Graffiti,11209
DSNY,Department of Sanitation,BROOKLYN,Residential,HALSEY STREET,Graffiti,Graffiti,11207
DOT,Department of Transportation,STATEN ISLAND,,RICHMOND HILL ROAD,Street Light Condition,Lamppost Damaged,10314
DOT,Department of Transportation,BRONX,,,Street Light Condition,Lamppost Damaged,10473
DOB,Department of Buildings,QUEENS,,115 STREET,Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,11419
DSNY,Department of Sanitation,BROOKLYN,Residential,WOLCOTT STREET,Graffiti,Graffiti,11231
DSNY,Lot Cleaning,BROOKLYN,Lot,SOUTH 2 STREET,Vacant Lot,8 Request to Clean Vacant Lot,11211
DSNY,Department of Sanitation,BROOKLYN,Comercial,LAFAYETTE AVENUE,Graffiti,Graffiti,11221
DEP,Department of Environmental Protection,QUEENS,,RFK BRIDGE,Hazardous Materials,"Oil Spill On Street, Large (HQL)",
DSNY,P - Brooklyn and Staten Island,BROOKLYN,Sidewalk,FLATLANDS AVENUE,Dirty Conditions,E12 Illegal Dumping Surveillance,11236
DSNY,P - Manhattan and Bronx,BRONX,Sidewalk,WHITE PLAINS ROAD,Dirty Conditions,E12 Illegal Dumping Surveillance,10467
DSNY,Brooklyn South 10,BROOKLYN,Street,92 STREET,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,11209
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Traffic Signal Condition,Pedestrian Signal,
DSNY,Lot Cleaning,BROOKLYN,Lot,PROSPECT PLACE,Vacant Lot,8 Request to Clean Vacant Lot,11213
DOB,Department of Buildings,BROOKLYN,,78 STREET,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,11228
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Base Door,
DSNY,Department of Sanitation,BRONX,Residential,STRATFORD AVENUE,Graffiti,Graffiti,10472
DOT,Department of Transportation,QUEENS,,GRAND CENTRAL PKWY,Street Light Condition,Lamppost Knocked Down,
DSNY,Department of Sanitation,MANHATTAN,,west 104 street and manhattan avenue,Graffiti,Graffiti,
DOB,Department of Buildings,BROOKLYN,,OCEAN AVENUE,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,11229
DOB,Department of Buildings,QUEENS,,148 STREET,Special Enforcement,SEP - Professional Certification Compliance Audit,11435
DSNY,Department of Sanitation,BROOKLYN,Comercial,NOSTRAND AVENUE,Graffiti,Graffiti,11210
DSNY,Lot Cleaning,BRONX,Lot,MORRIS PARK AVENUE,Vacant Lot,8 Request to Clean Vacant Lot,
DSNY,Department of Sanitation,QUEENS,Comercial,KISSENA BOULEVARD,Graffiti,Graffiti,11367
HPD,Department of Housing Preservation and Development,BRONX,RESIDENTIAL BUILDING,CLINTON AVENUE,WATER LEAK,HEAVY FLOW,10457
HPD,Department of Housing Preservation and Development,BROOKLYN,RESIDENTIAL BUILDING,EAST   85 STREET,PAINT/PLASTER,WALL,11236
DOB,Department of Buildings,QUEENS,,51 AVENUE,Special Enforcement,SEP - Professional Certification Compliance Audit,11373
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,NOSTRAND AVENUE,Graffiti,Graffiti,11229
DOT,Department of Transportation,Unspecified,Ferry,,Ferry Inquiry,Lost and Found,
DOF,Refunds and Adjustments,Unspecified,N/A,,DOF Parking - Payment Issue,Waive Penalty for Late Payment,
DOF,Correspondence Unit,QUEENS,Property Address,,DOF Property - Request Copy,Copy of Statement,11369
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,AVENUE U,Graffiti,Graffiti,11223
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,11435
DSNY,Department of Sanitation,BROOKLYN,,TROUTMAN STREET,Graffiti,Graffiti,11237
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,NEW UTRECHT AVENUE,Graffiti,Graffiti,11219
DSNY,Department of Sanitation,BROOKLYN,Comercial,MYRTLE AVENUE,Graffiti,Graffiti,11221
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,KNICKERBOCKER AVENUE,Graffiti,Graffiti,11237
DSNY,Department of Sanitation,BROOKLYN,,canarsie park,Graffiti,Graffiti,
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,KNICKERBOCKER AVENUE,Graffiti,Graffiti,11237
DEP,Department of Environmental Protection,BROOKLYN,,METROTECH CENTER,Noise,Noise: air condition/ventilation equipment (NV1),11201
DOB,Department of Buildings,MANHATTAN,,2 AVENUE,Boilers,Boiler - Defective/Inoperative/No Permit,10128
DOB,Department of Buildings,STATEN ISLAND,,OAK STREET,Building/Use,Illegal Conversion Of Residential Building/Space,10305
DOB,Department of Buildings,BROOKLYN,,DWIGHT STREET,Boilers,Boiler - Defective/Inoperative/No Permit,11231
DOB,Department of Buildings,QUEENS,,41 ROAD,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,11355
DOB,Department of Buildings,BROOKLYN,,LIVINGSTON STREET,Cranes and Derricks,Crane/Suspension Scaffold - No Permit/License/Cert./Unsafe/Illegal,11201
DOB,Department of Buildings,MANHATTAN,,WEST  161 STREET,Elevator,Elevator - Defective/Not Working,10032
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,ST NICHOLAS AVENUE,Graffiti,Graffiti,10032
DOT,Department of Transportation,BROOKLYN,,,Traffic Signal Condition,Veh Signal Head,
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,VARICK STREET,Graffiti,Graffiti,10013
HPD,Department of Housing Preservation and Development,BRONX,RESIDENTIAL BUILDING,WEST  168 STREET,UNSANITARY CONDITION,PESTS,10452
DPR,Department of Parks and Recreation,MANHATTAN,Street,WEST 88 STREET,Dead/Dying Tree,Planted Less Than 2 Years Ago,10024
HPD,Department of Housing Preservation and Development,MANHATTAN,RESIDENTIAL BUILDING,BOGARDUS PLACE,PLUMBING,WATER SUPPLY,10040
DOB,Department of Buildings,BROOKLYN,,5 AVENUE,BEST/Site Safety,Safety Netting/Guard Rails - Damaged/Inadequate/None (Over 6 Stories/75 Feet),11215
DSNY,Department of Sanitation,BROOKLYN,Comercial,AVENUE U,Graffiti,Graffiti,11229
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DEP,Department of Environmental Protection,BRONX,,,Water System,Hydrant Defective (WC2),10469
DOB,Department of Buildings,MANHATTAN,,EAST   13 STREET,Elevator,Elevator - Defective/Not Working,10003
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,11432
DOB,Department of Buildings,MANHATTAN,,WEST   11 STREET,Electrical,Electrical Wiring Defective/Exposed,10011
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DSNY,Department of Sanitation,QUEENS,Comercial,WYCKOFF AVENUE,Graffiti,Graffiti,11385
HPD,Department of Housing Preservation and Development,BRONX,RESIDENTIAL BUILDING,WALTON AVENUE,UNSANITARY CONDITION,PESTS,10453
DEP,Department of Environmental Protection,BROOKLYN,,5 AVENUE,Noise,Noise: air condition/ventilation equipment (NV1),11215
DSNY,Department of Sanitation,MANHATTAN,,OVERLOOK TERRACE,Graffiti,Graffiti,10033
DSNY,Department of Sanitation,BROOKLYN,,SEIGEL STREET,Graffiti,Graffiti,11206
DOB,Department of Buildings,STATEN ISLAND,,VICTORY BOULEVARD,Building/Use,Illegal Conversion Of Residential Building/Space,10301
DOB,Department of Buildings,QUEENS,,36 STREET,Electrical,Electrical Wiring Defective/Exposed,11101
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Multiple Street Lights Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOB,Department of Buildings,MANHATTAN,,WEST  129 STREET,BEST/Site Safety,Demolition - Unsafe,10027
DEP,Department of Environmental Protection,QUEENS,,90 RD,Noise,Noise: air condition/ventilation equipment (NV1),11421
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Fixture/Luminaire Hanging,11233
DOT,Department of Transportation,BRONX,,MARION AVENUE,Street Light Condition,Street Light Out,10458
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Fixture/Luminaire Out Of Position,
DOB,Department of Buildings,BRONX,,MOUNT HOPE PLACE,Elevator,Elevator - Defective/Not Working,10453
DOB,Department of Buildings,BRONX,,HAIGHT AVENUE,Elevator,Elevator - Defective/Not Working,10461
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DPR,Department of Parks and Recreation,BROOKLYN,Street,EAST 99 STREET,Damaged Tree,Branch or Limb Has Fallen Down,11236
HPD,Department of Housing Preservation and Development,MANHATTAN,RESIDENTIAL BUILDING,MANHATTAN AVENUE,PAINT/PLASTER,WALL,10025
DOT,Department of Transportation,STATEN ISLAND,,,Street Light Condition,Street Light Out,10305
HPD,Department of Housing Preservation and Development,QUEENS,RESIDENTIAL BUILDING,115 STREET,PLUMBING,BASIN/SINK,11418
DSNY,Department of Sanitation,BROOKLYN,Residential,GELSTON AVENUE,Graffiti,Graffiti,11209
HPD,Department of Housing Preservation and Development,QUEENS,RESIDENTIAL BUILDING,129 AVENUE,PAINT/PLASTER,WALL,11413
DSNY,Department of Sanitation,BRONX,,BROOK AVENUE,Graffiti,Graffiti,10456
DEP,Department of Environmental Protection,QUEENS,,JAMAICA AVENUE,Air Quality,"Air: Smoke, Vehicular (AA4)",11418
DOT,Department of Transportation,QUEENS,,,Traffic Signal Condition,Cable,
DOF,Refunds and Adjustments,QUEENS,Property Address,,DOF Property - Payment Issue,Property Refunds and Credits,11356
DOT,Department of Transportation,MANHATTAN,,187 ST W,Street Light Condition,Lamppost Wire Exposed,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOB,Department of Buildings,QUEENS,,163 STREET,Elevator,Elevator - Defective/Not Working,11365
DOT,Department of Transportation,BROOKLYN,Street,MARINE AVENUE,Street Condition,Cave-in,11209
DEP,Department of Environmental Protection,BRONX,,SEDGWICK AVENUE,Water System,NO WATER - WNW,10453
DOT,Department of Transportation,QUEENS,,224 STREET,Street Light Condition,Street Light Out,11364
HPD,Department of Housing Preservation and Development,BROOKLYN,RESIDENTIAL BUILDING,ROCKAWAY PARKWAY,APPLIANCE,ELECTRIC/GAS RANGE,11212
HPD,Department of Housing Preservation and Development,BRONX,RESIDENTIAL BUILDING,EAST  182 STREET,WATER LEAK,HEAVY FLOW,10453
DOT,Department of Transportation,BRONX,,ST JAMES PARK,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,WILLETS POINT BLVD,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Lamppost Wire Exposed,
DSNY,Department of Sanitation,BROOKLYN,Comercial,HART STREET,Graffiti,Graffiti,11237
DOT,Department of Transportation,BRONX,,221 ST E,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOB,Department of Buildings,QUEENS,,BEACH   53 STREET,Elevator,Elevator - Defective/Not Working,11691
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Veh Signal Lamp,
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,BUSHWICK AVENUE,Graffiti,Graffiti,11221
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Veh Signal Visor,
DOT,Department of Transportation,QUEENS,,,Street Light Condition,New Con Ed Service Request,11105
DOT,Department of Transportation,BROOKLYN,,19 AVENUE,Street Light Condition,Street Light Out,11204
DOT,Department of Transportation,BRONX,,,Traffic Signal Condition,Controller,
DOT,Department of Transportation,MANHATTAN,,80 ST E,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,87 STREET,Street Light Condition,Street Light Out,11414
HPD,Department of Housing Preservation and Development,QUEENS,RESIDENTIAL BUILDING,70 STREET,UNSANITARY CONDITION,MOLD,11385
HPD,Department of Housing Preservation and Development,BROOKLYN,RESIDENTIAL BUILDING,SHEFFIELD AVENUE,UNSANITARY CONDITION,PESTS,11207
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Veh Signal Head,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,10461
DEP,Department of Environmental Protection,BROOKLYN,,WILLIAMS AVENUE,Water System,Fire Hydrant Emergency (FHE),11207
DEP,Department of Environmental Protection,BRONX,,HARRISON AVENUE,Water System,Fire Hydrant Emergency (FHE),10453
DEP,Department of Environmental Protection,BROOKLYN,,,Water System,Fire Hydrant Emergency (FHE),11206
DEP,Department of Environmental Protection,BRONX,,JEROME AVENUE,Water System,Fire Hydrant Emergency (FHE),10453
DEP,Department of Environmental Protection,BRONX,,VYSE AVENUE,Water System,Fire Hydrant Emergency (FHE),10460
DEP,Department of Environmental Protection,BRONX,,,Water System,Fire Hydrant Emergency (FHE),10460
DEP,Department of Environmental Protection,QUEENS,,,Water System,Fire Hydrant Emergency (FHE),11368
DEP,Department of Environmental Protection,MANHATTAN,,WEST  139 STREET,Water System,Fire Hydrant Emergency (FHE),10031
